column,name,short_name,type
54,Failed wait for connection:(incld/dx (source01.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source01.JDBCDataSourceRuntime,dbl
55,Rel. unavailable connections:((source01.JDBCConnectionPoolRuntime.NumUnavailable / source01.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source01.JDBCConnectionPoolRuntime,dbl
56,Prepared statement cache hit rate:((source04.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source04.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source04.JDBCDataSourceRuntime,dbl
57,Stuck threads:(DomainLogBroadcasterClient.WorkManagerRuntime.StuckThreadCount),Stuck threads:DomainLogBroadcasterClient,dbl
58,DB connection started:(incld/dx (source10.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source10.JDBCDataSourceRuntime,dbl
59,Stuck threads:(JmsDispatcher.WorkManagerRuntime.StuckThreadCount),Stuck threads:JmsDispatcher,dbl
60,DB connection started:(incld/dx (source04.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source04.JDBCDataSourceRuntime,dbl
61,DB connection started:(incld/dx (source02.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source02.JDBCConnectionPoolRuntime,dbl
62,Available db connection activity:(d/dx (source03.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source03.JDBCConnectionPoolRuntime,dbl
63,Stuck threads:(bea_wls_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_internal,dbl
64,Stuck threads:(sys01.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:sys01.default,dbl
65,Failed wait for connection:(incld/dx (source02.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source02.JDBCDataSourceRuntime,dbl
66,Thread User time:(Threading.CurrentThreadUserTime),Thread User time,dbl
67,DB connection started:(incld/dx (source04.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source04.JDBCConnectionPoolRuntime,dbl
68,Connection delay:(source01.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source01.JDBCConnectionPoolRuntime,dbl
69,Active connections:(source06.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source06.JDBCConnectionPoolRuntime,dbl
70,Available db connection activity:(d/dx (source09.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source09.JDBCDataSourceRuntime,dbl
71,Stuck threads:(RMI.WorkManagerRuntime.StuckThreadCount),Stuck threads:RMI,dbl
72,Thread CPU time:(Threading.CurrentThreadCpuTime),Thread CPU time,dbl
73,Available db connection activity:(d/dx (source09.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source09.JDBCConnectionPoolRuntime,dbl
74,Transaction committ activity:(incld/dx (JTARuntime.TransactionCommittedTotalCount)),Transaction committ activity:JTARuntime,dbl
75,Memory space usage:((PS Old Gen.MemoryPool.Usage.used / PS Old Gen.MemoryPool.Usage.max)),Memory space usage:PS Old Gen.Used,dbl
76,Stuck threads:(batchModules.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:batchModules,dbl
77,No data,No data,dbl
78,DB connection started:(incld/dx (source08.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source08.JDBCConnectionPoolRuntime,dbl
79,Stuck threads:(source04.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source04,dbl
80,Daemon thread count:(Threading.DaemonThreadCount),Daemon thread count,dbl
81,Stuck threads:(HARVESTER_WM.WorkManagerRuntime.StuckThreadCount),Stuck threads:HARVESTER_WM,dbl
82,Rel. unavailable connections:((source02.JDBCDataSourceRuntime.NumUnavailable / source02.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source02.JDBCDataSourceRuntime,dbl
83,Available db connection activity:(d/dx (source06.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source06.JDBCDataSourceRuntime,dbl
84,Memory space usage:((PS Eden Space.MemoryPool.Usage.committed / PS Eden Space.MemoryPool.Usage.max)),Memory space usage:PS Eden Space.Committed,dbl
85,DB connection started:(incld/dx (source01.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source01.JDBCDataSourceRuntime,dbl
86,Failing reserve requests:(incld/dx (source05.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source05.JDBCDataSourceRuntime,dbl
